competition_category_id,round_label,maqra_code,title,content,notes,sort_order,is_active
5,Penyisihan,TL.1.M01,QS. Al-Baqarah ayat 8 - 12,QS. Al-Baqarah ayat 8 - 12,,1,1
5,Penyisihan,TL.1.M02,QS. Al-Baqarah ayat 11 - 14,QS. Al-Baqarah ayat 11 - 14,,2,1
5,Penyisihan,TL.1.M03,QS. Al-Baqarah ayat 17 - 19,QS. Al-Baqarah ayat 17 - 19,,3,1
5,Penyisihan,TL.1.M04,QS. Al-Baqarah ayat 21 - 23,QS. Al-Baqarah ayat 21 - 23,,4,1
5,Penyisihan,TL.1.M05,QS. Al-Baqarah ayat 27 - 29,QS. Al-Baqarah ayat 27 - 29,,5,1
5,Penyisihan,TL.1.M06,QS. Al-Baqarah ayat 29 - 30,QS. Al-Baqarah ayat 29 - 30,,6,1
5,Penyisihan,TL.1.M07,QS. Al-Baqarah ayat 30 - 31,QS. Al-Baqarah ayat 30 - 31,,7,1
5,Penyisihan,TL.1.M08,QS. Al-Baqarah ayat 32 - 34,QS. Al-Baqarah ayat 32 - 34,,8,1
5,Penyisihan,TL.1.M09,QS. Al-Baqarah ayat 35 - 37,QS. Al-Baqarah ayat 35 - 37,,9,1
5,Penyisihan,TL.1.M10,QS. Al-Baqarah ayat 38 - 40,QS. Al-Baqarah ayat 38 - 40,,10,1
5,Penyisihan,TL.1.M11,QS. Al-Baqarah ayat 42 - 46,QS. Al-Baqarah ayat 42 - 46,,11,1
5,Penyisihan,TL.1.M12,QS. Al-Baqarah ayat 49 - 51,QS. Al-Baqarah ayat 49 - 51,,12,1
5,Penyisihan,TL.1.M13,QS. Al-Baqarah ayat 53 - 55,QS. Al-Baqarah ayat 53 - 55,,13,1
5,Penyisihan,TL.1.M14,QS. Al-Baqarah ayat 55 - 57,QS. Al-Baqarah ayat 55 - 57,,14,1
5,Penyisihan,TL.1.M15,QS. Al-Baqarah ayat 63 - 66,QS. Al-Baqarah ayat 63 - 66,,15,1
5,Penyisihan,TL.1.M16,QS. Al-Baqarah ayat 67 - 69,QS. Al-Baqarah ayat 67 - 69,,16,1
5,Penyisihan,TL.1.M17,QS. Al-Baqarah ayat 72 - 74,QS. Al-Baqarah ayat 72 - 74,,17,1
5,Penyisihan,TL.1.M18,QS. Al-Baqarah ayat 76 - 78,QS. Al-Baqarah ayat 76 - 78,,18,1
5,Penyisihan,TL.1.M19,QS. Al-Baqarah ayat 80 - 82,QS. Al-Baqarah ayat 80 - 82,,19,1
5,Penyisihan,TL.1.M20,QS. Al-Baqarah ayat 83 - 84,QS. Al-Baqarah ayat 83 - 84,,20,1
5,Penyisihan,TL.1.M21,QS. Al-Baqarah ayat 87 - 88,QS. Al-Baqarah ayat 87 - 88,,21,1
5,Penyisihan,TL.1.M22,QS. Al-Baqarah ayat 92 - 93,QS. Al-Baqarah ayat 92 - 93,,22,1
5,Penyisihan,TL.1.M23,QS. Al-Baqarah ayat 99 - 101,QS. Al-Baqarah ayat 99 - 101,,23,1
5,Penyisihan,TL.1.M24,QS. Al-Baqarah ayat 104 - 105,QS. Al-Baqarah ayat 104 - 105,,24,1
5,Penyisihan,TL.1.M25,QS. Al-Baqarah ayat 106 - 108,QS. Al-Baqarah ayat 106 - 108,,25,1
5,Penyisihan,TL.1.M26,QS. Al-Baqarah ayat 110 - 112,QS. Al-Baqarah ayat 110 - 112,,26,1
5,Penyisihan,TL.1.M27,QS. Al-Baqarah ayat 114 - 116,QS. Al-Baqarah ayat 114 - 116,,27,1
6,Penyisihan,TL.2.M01,QS. Al-Baqarah ayat 258,QS. Al-Baqarah ayat 258,,1,1
6,Penyisihan,TL.2.M02,QS. Al-Baqarah ayat 267,QS. Al-Baqarah ayat 267,,2,1
6,Penyisihan,TL.2.M03,QS. Ali 'Imran ayat 72,QS. Ali 'Imran ayat 72,,3,1
6,Penyisihan,TL.2.M04,QS. Ali 'Imran ayat 156,QS. Ali 'Imran ayat 156,,4,1
6,Penyisihan,TL.2.M05,QS. Ali 'Imran ayat 181,QS. Ali 'Imran ayat 181,,5,1
6,Penyisihan,TL.2.M06,QS. Al-Ma'idah ayat 87,QS. Al-Ma'idah ayat 87,,6,1
6,Penyisihan,TL.2.M07,QS. Al-An'am ayat 122,QS. Al-An'am ayat 122,,7,1
6,Penyisihan,TL.2.M08,QS. Al-An'am ayat 141,QS. Al-An'am ayat 141,,8,1
6,Penyisihan,TL.2.M09,QS. Al-An'am ayat 145,QS. Al-An'am ayat 145,,9,1
6,Penyisihan,TL.2.M10,QS. Al-A'raf ayat 40,QS. Al-A'raf ayat 40,,10,1
6,Penyisihan,TL.2.M11,QS. Al-A'raf ayat 163,QS. Al-A'raf ayat 163,,11,1
6,Penyisihan,TL.2.M12,QS. Al-A'raf ayat 172,QS. Al-A'raf ayat 172,,12,1
6,Penyisihan,TL.2.M13,QS. Al-A'raf ayat 196,QS. Al-A'raf ayat 196,,13,1
6,Penyisihan,TL.2.M14,QS. Al-A'raf ayat 182,QS. Al-A'raf ayat 182,,14,1
6,Penyisihan,TL.2.M15,QS. Al-Anfal ayat 45,QS. Al-Anfal ayat 45,,15,1
6,Penyisihan,TL.2.M16,QS. Al-Anfal ayat 65,QS. Al-Anfal ayat 65,,16,1
6,Penyisihan,TL.2.M17,QS. At-Taubah ayat 7,QS. At-Taubah ayat 7,,17,1
6,Penyisihan,TL.2.M18,QS. At-Taubah ayat 30,QS. At-Taubah ayat 30,,18,1
6,Penyisihan,TL.2.M19,QS. At-Taubah ayat 43,QS. At-Taubah ayat 43,,19,1
